Region,Year,Month,Day,Temperature,Precipitation
Greater Accra,2018,1,14,32.43963893111246,136
North East,2018,1,13,30.407051123153863,166
Western North,2021,3,20,33.64489196518565,82
Central,2016,11,29,29.675403830074355,152
Central,2010,4,17,24.450825007055272,95
Western North,2022,11,29,29.33293137195645,45
North East,2019,4,22,27.064872117015334,2
Oti,2021,1,10,28.73555335091578,138
Eastern,2013,6,18,21.03088470545008,69
North East,2022,4,3,33.39775804099001,156
Eastern,2023,5,23,26.129654756230067,188
Western,2020,11,18,20.948731277878355,62
Upper West,2020,2,20,30.673766531139115,127
Ashanti,2019,12,19,30.318403850516532,183
Upper East,2018,6,12,27.97013387337605,205
Eastern,2019,9,11,24.603977932048046,53
Western North,2017,8,2,25.572157917992712,153
Bono,2022,8,9,30.967158244981494,174
Upper West,2013,10,2,31.38076874987734,1
Savannah,2021,2,7,30.589713017466003,124
Central,2015,2,21,30.9177308021975,108
Eastern,2014,6,27,23.31588167109852,64
Upper East,2021,9,20,32.23254290169102,30
Oti,2021,12,2,22.84764555523251,172
Greater Accra,2013,6,25,26.62319802542515,65
Bono East,2014,9,5,26.203967026686424,217
Savannah,2015,11,4,20.12230823891537,27
Bono East,2016,10,30,28.43321466012344,194
Ahafo,2010,7,17,31.08689464863589,79
Bono,2013,5,4,28.708875256327865,246
Upper West,2017,7,29,28.879983216956845,127
Central,2013,6,12,32.64367684653884,12
Savannah,2012,4,17,24.624988588083603,3
Upper East,2012,2,28,21.60772162292651,58
Western North,2017,2,1,24.97426177366906,11
Savannah,2013,11,6,29.711052754014467,4
Upper East,2011,10,17,31.324663780029248,239
Savannah,2022,1,27,32.86132946698046,204
Central,2010,10,7,30.451135243599076,65
Oti,2018,5,1,31.87465451698459,241
North East,2015,5,31,29.30124382629051,231
Western North,2011,11,10,34.09939495083589,141
Bono East,2016,11,5,20.142096826088505,154
Western North,2011,10,13,31.82313457246049,156
Central,2012,7,3,34.69952342309179,128
Upper West,2014,10,3,26.20819457488561,240
Western,2022,3,30,20.113539867724725,167
Bono East,2019,8,18,27.30405239483934,225
Bono East,2014,8,22,29.45474192386463,159
Savannah,2019,12,12,25.887438474219753,213
Ashanti,2021,6,7,29.427626083108052,19
Bono East,2016,3,16,26.156522396841037,122
North East,2023,5,27,21.416222219206393,189
Savannah,2022,3,30,30.646925611157577,209
Ahafo,2020,11,30,29.534625057335695,54
Central,2023,4,19,20.96130784393777,116
Northern,2013,1,1,32.03125258651243,203
Upper East,2015,5,30,33.185165051880375,217
Ashanti,2017,4,30,20.20729152893915,65
Western,2011,5,6,26.072951368532674,56
Eastern,2013,11,24,32.791649662543186,46
Ahafo,2018,7,21,25.90011068529546,19
Ahafo,2021,2,10,29.198382366841127,70
Bono,2017,4,5,33.35178090440772,199
Oti,2015,6,30,29.057812075889544,169
Upper East,2021,11,11,23.92419183095693,39
Ahafo,2011,1,1,28.827900885016426,177
Ashanti,2012,2,28,24.380341230956077,61
Greater Accra,2022,1,14,32.59524986589957,6
Upper East,2023,12,12,21.840851580777347,163
Eastern,2016,4,29,33.37582873875261,186
Western,2016,9,24,22.446005175920426,151
North East,2021,8,6,21.100899035690926,59
Savannah,2015,11,19,23.685231387030342,24
Ahafo,2023,6,24,23.67984993578049,123
Northern,2021,1,16,31.897113357467173,55
Ahafo,2021,6,9,21.71809543060665,227
Western,2014,3,1,20.44370737735981,13
Bono East,2010,10,8,22.753548533613234,180
Greater Accra,2013,6,23,20.737484183192738,225
Upper West,2013,5,2,23.58717089134788,53
Central,2017,10,22,23.024850899721095,6
Central,2011,8,9,28.22455787537706,84
Eastern,2017,8,7,30.343460778850286,227
Volta,2021,12,22,30.46161307678316,139
Greater Accra,2012,12,15,26.214826664422272,102
Western North,2023,7,1,25.942434138605854,203
Upper West,2022,1,29,28.062600385858232,190
Western,2016,7,3,26.605477064093765,97
Upper West,2019,4,27,31.365452285192596,14
Ahafo,2021,4,8,25.90527398810486,186
Upper East,2014,4,24,20.633597176622665,127
Bono,2022,4,8,29.96566340017808,59
Volta,2023,1,3,27.62023128804472,111
North East,2015,2,5,24.395880113996025,142
Western,2014,12,6,24.73517703453915,202
Oti,2011,11,29,34.8125850172944,132
Northern,2020,7,26,30.817075650320163,46
Oti,2010,1,8,21.10311574717155,214
Bono,2013,2,26,21.047001852789478,81
Greater Accra,2016,8,14,24.945232150048188,79
Upper East,2020,2,9,28.597372859267388,161
Northern,2021,6,20,26.144230472861388,48
Upper West,2015,7,1,22.074822966346662,34
Bono,2022,9,15,22.196701089309816,69
Eastern,2018,8,31,34.92941825307158,105
Bono East,2011,10,13,24.197082383096546,240
Savannah,2016,3,31,30.11808841910739,134
Upper West,2018,10,13,29.46728345167295,216
Upper East,2017,3,18,24.00123528649724,228
North East,2021,2,1,20.166407081584353,227
Western North,2020,3,9,30.709177705316733,26
Eastern,2020,8,12,30.444631945705666,179
Ahafo,2011,5,16,33.452293214078665,166
Central,2023,10,13,24.40474103785857,33
Volta,2016,9,19,29.68274770108451,70
Bono East,2020,9,1,29.275858211448252,85
Western,2015,4,28,22.86515395076594,60
Northern,2013,10,22,27.42053411760721,45
Central,2017,3,22,29.129627677753177,203
Bono,2012,6,22,25.66574104384791,69
Western North,2018,10,24,20.786603263417202,226
Central,2023,1,10,24.46271664612547,212
Volta,2020,2,23,25.613697864654128,50
Eastern,2014,7,22,20.147883253474856,112
Ahafo,2017,10,1,20.089504238305043,207
Volta,2011,11,10,21.08276591211363,107
Greater Accra,2010,1,31,30.739691047113567,162
Bono East,2010,5,17,31.22478072742117,93
Western North,2014,1,17,22.949885142679435,86
Upper East,2020,12,2,21.390601638385057,62
Oti,2022,6,11,24.14897923771274,8
Eastern,2015,1,3,23.0003563037858,215
Western North,2016,11,9,25.129481811049832,201
Central,2018,8,18,23.4152085768534,112
Savannah,2011,5,19,20.97416831365651,215
Upper West,2021,1,16,22.546151579166782,6
Western North,2012,6,10,32.47790008483582,87
Ahafo,2010,10,9,33.62312741230519,108
Western North,2022,4,23,25.93327425976718,172
Eastern,2018,6,9,31.43753728051015,179
Savannah,2023,1,25,26.12005470415564,168
Volta,2022,8,3,31.657438908777728,171
Savannah,2021,3,25,29.007718812063082,100
Eastern,2022,10,3,24.261363233713805,76
North East,2018,10,30,30.670955600504925,6
Oti,2012,1,9,33.80210269494836,181
Ahafo,2011,10,20,25.180821837309168,232
Western,2018,2,9,21.03981579004763,178
Western North,2020,12,22,33.105353093910566,65
Ashanti,2012,3,22,21.04218348256046,11
Northern,2020,9,21,30.859710299049297,214
Eastern,2018,5,7,25.13151074684047,134
Northern,2016,1,25,25.64256878093726,65
Eastern,2012,3,30,20.64359831690076,229
Western North,2023,10,12,20.25708480083999,34
Central,2016,5,16,33.865573050115835,210
Bono,2020,8,12,25.319981692762827,37
Western,2011,9,17,20.644420894398028,154
Bono East,2022,12,24,30.476661701659797,21
Ashanti,2010,4,19,28.247593312819163,186
North East,2011,3,19,28.49399438039618,71
Volta,2016,8,14,29.18505826084684,135
North East,2018,6,28,29.94005540877185,20
Bono,2018,2,20,31.67189464019803,101
Western,2014,6,11,33.80036238746186,69
Western North,2010,9,16,27.199955846548065,121
Oti,2020,1,14,24.05872679338138,59
Volta,2021,5,27,21.00112204439906,51
Volta,2013,10,9,22.575708653290153,240
Upper East,2011,12,3,28.19993250643283,70
Northern,2017,5,16,27.834989260134062,39
Western North,2014,7,12,22.539068957569004,241
Oti,2013,5,7,32.797220531939345,140
Eastern,2014,11,8,32.00661138856912,129
Savannah,2022,3,1,21.867007477737797,9
Northern,2015,7,31,26.806976110500592,50
Bono East,2011,5,26,34.918642344412554,91
North East,2010,10,29,20.604745482267944,205
Central,2019,10,5,33.13182341789319,41
Oti,2023,1,20,31.0720963002389,55
Upper West,2010,4,27,24.296659554267972,3
Western,2015,6,24,31.68093356631764,197
Eastern,2023,10,28,28.82993523204341,109
Eastern,2011,3,23,31.35677438071074,89
Bono,2017,7,1,26.68742549876743,133
Central,2014,5,19,24.402967835709767,73
Greater Accra,2020,5,12,27.156824390528424,23
Volta,2012,1,3,30.85124422668993,68
North East,2019,9,28,28.55819628479926,79
Volta,2011,7,19,27.341043076753248,127
Ashanti,2016,12,7,20.93532333944256,34
Oti,2018,6,3,28.985045880865098,27
Western,2021,11,25,28.933712018001394,212
Northern,2023,12,18,20.713587560705424,23
Oti,2018,11,9,26.70618406316976,41
Western North,2010,3,7,33.9005892330953,91
Volta,2014,5,13,22.251671487950095,41
Central,2020,2,20,33.76254364114225,131
Northern,2018,3,14,25.358918728206366,246
Bono,2022,5,19,31.0007095764798,111
Volta,2012,6,16,30.9619228037201,197
Upper West,2017,6,29,32.68046381210736,143
Ashanti,2014,12,19,24.7778254816553,28
Ashanti,2016,11,19,26.86022735918746,234
Bono East,2019,7,30,31.999238004258828,20
North East,2010,5,22,21.428340179579745,185
Upper West,2018,9,3,31.397987641736712,59
Volta,2017,12,5,20.080335978137132,77
Greater Accra,2023,4,19,22.532089690037512,139
North East,2018,12,21,23.12009772148096,134
Greater Accra,2013,8,9,26.90848720798967,46
Central,2020,8,3,28.423199369529353,140
Western,2020,10,8,31.503294217034654,5
Ashanti,2022,10,6,23.551674832634166,242
Upper East,2010,3,6,25.2090656353595,92
Volta,2019,4,3,21.35714188570142,213
Ashanti,2019,3,2,26.459821360306318,41
Upper West,2019,9,29,30.23895076669984,116
Bono East,2012,2,23,30.495331151610603,194
Bono East,2015,11,29,34.09089732333115,161
Upper West,2020,9,22,23.300510594913902,92
Oti,2016,7,6,22.925578247536933,51
Ashanti,2012,8,28,20.323996179014134,123
Upper East,2010,10,26,27.505111860575497,211
Western North,2020,12,18,22.483588202460673,192
Ahafo,2012,11,5,27.807176405314568,34
Savannah,2013,1,28,30.722187463949542,30
Western North,2023,1,15,31.442767454260096,130
Savannah,2010,6,10,27.854409747309468,51
Savannah,2018,9,4,22.286574132228566,71
Central,2021,6,30,20.80792670169931,217
Volta,2023,7,21,22.20025356401431,33
Central,2017,4,5,22.267195086775867,61
Eastern,2018,9,24,21.43651250361576,116
Eastern,2010,7,23,23.010853463704265,218
Bono,2012,1,31,25.851156459740785,173
Oti,2012,5,21,31.98547668385244,230
Northern,2019,7,6,31.718206779397267,151
Volta,2012,3,28,29.015707553621475,37
Bono East,2019,3,22,31.994108722111413,197
Upper West,2018,4,1,21.602082323230956,43
Upper East,2023,11,1,31.24965174409563,52
North East,2010,7,31,28.07161506722329,2
Bono,2011,6,12,22.866550360151656,211
Volta,2011,2,26,28.10988403484201,16
Oti,2018,5,3,33.9472242132088,56
Ashanti,2021,8,28,34.578011374985735,248
North East,2015,8,14,21.396529019452117,45
Savannah,2018,8,8,24.855072700888385,225
Bono,2020,1,16,28.073611493452624,122
Western North,2015,12,10,34.28143705869088,177
Oti,2020,11,11,20.24248958411442,131
Northern,2016,7,15,30.599472281379583,246
Volta,2019,1,5,31.89679975553088,41
Volta,2020,3,17,31.167445080821366,106
Western,2020,1,19,33.629049335123824,51
Eastern,2018,12,7,20.708900760063635,48
Savannah,2010,8,27,28.848355742980132,90
Upper West,2023,12,12,20.84076160407123,122
Northern,2015,1,26,34.23235278752243,9
Ashanti,2021,8,19,30.984357987278894,8
Bono East,2020,11,22,34.42003306392828,97
Volta,2015,2,19,26.45312895989921,11
Eastern,2016,8,1,28.40572132385835,72
North East,2012,2,5,23.17715925248863,227
Ahafo,2018,8,10,32.57915239845501,161
Greater Accra,2014,4,22,25.214400507991588,241
Bono East,2019,11,24,26.36048294984238,210
Ahafo,2022,6,10,32.508923137514536,30
Eastern,2013,12,21,33.03815832031614,183
Northern,2016,3,31,34.18383767152865,25
Western,2015,3,18,21.342205443212258,166
Greater Accra,2010,1,31,25.466055274980036,213
Ashanti,2016,7,27,31.274140135011688,28
Bono,2016,2,20,30.121850316344286,146
Greater Accra,2023,2,18,27.813775280993916,179
North East,2022,7,11,26.16999057778076,100
North East,2019,11,8,29.257231185891243,234
Western North,2023,9,17,27.42787769149822,74
Western North,2016,9,28,20.722371381309724,71
Ashanti,2022,7,8,20.499679827809434,120
Upper West,2023,8,12,32.70613981496943,143
Bono,2013,4,14,21.64989129214027,94
Upper East,2010,8,20,21.052900274600773,239
Northern,2014,10,6,24.993135828652274,92
Western,2014,10,21,20.33792471945434,193
North East,2022,7,18,32.623847978389286,232
Greater Accra,2012,6,8,23.64467167439545,75
Oti,2011,8,8,25.173576788972422,18
Ashanti,2011,3,6,24.019404617045435,172
Bono,2020,8,31,33.963732663241686,158
Upper West,2014,9,18,29.318310509247915,220
Upper West,2014,11,21,24.897329710272572,50
Ashanti,2019,12,19,20.424331228520625,31
North East,2020,8,21,26.433222773342894,124
Ahafo,2018,4,4,30.43973813814613,119
Bono,2021,10,14,33.77573561730861,141
Volta,2020,5,18,33.11295079726012,133
Greater Accra,2021,7,19,23.654204795103997,95
Northern,2013,7,21,22.138516268978677,185
Eastern,2015,4,17,33.009611472818065,225
Western,2011,3,1,31.6016191864692,162
Oti,2014,10,12,32.05511626312755,109
Ashanti,2011,11,14,20.50814505923545,241
Greater Accra,2018,7,12,20.870393854635207,185
Ahafo,2012,4,24,25.86037174205013,48
Bono,2011,12,9,31.18826436986143,13
Northern,2010,2,18,33.28078707461131,135
Central,2019,7,25,25.94281003997759,16
Greater Accra,2014,11,4,26.539690073120425,116
Western North,2015,1,3,31.55789751420098,123
Eastern,2010,5,6,31.78249537958999,80
Western,2014,12,24,24.760284948875075,159
Greater Accra,2013,5,1,20.141525714026407,192
Oti,2010,11,26,25.20660362566708,249
Eastern,2023,1,10,27.464800737311982,140
Ahafo,2012,6,14,22.740958234658066,181
Ahafo,2015,4,16,34.06897164303562,225
Eastern,2012,5,18,31.044206635017744,81
Central,2010,1,22,33.913586301514606,198
Eastern,2015,9,29,20.362592397360153,21
Bono,2016,2,27,20.977602028499366,1
Western North,2017,2,1,23.321932901995847,120
Ahafo,2016,9,25,29.994669927242626,75
Greater Accra,2016,6,28,33.54719281816541,235
Northern,2012,6,12,20.47100999386147,70
Eastern,2015,4,24,29.331444584267732,166
Upper West,2020,2,17,30.672798415915203,237
Bono,2014,1,22,24.88522243833942,191
Central,2020,11,5,24.690208421960406,92
Bono East,2017,10,27,34.47301149512039,208
Upper West,2019,10,26,31.313396540303692,127
Greater Accra,2018,9,28,32.91064062016795,234
Volta,2019,1,22,26.689317952170626,175
Upper East,2016,5,25,30.886494897520564,100
Upper East,2013,7,23,30.603670123871932,210
Central,2013,3,30,24.91629113138653,10
North East,2014,12,15,26.576524796379623,129
Bono,2014,8,16,23.948677107710896,17
Greater Accra,2011,10,31,21.40146399523939,74
Greater Accra,2012,8,31,26.73809352641436,23
Western North,2022,5,19,29.09486941277674,103
Central,2015,10,16,26.435760575386613,101
Savannah,2010,1,31,30.878260347783737,165
Bono,2019,2,19,28.299959326422123,5
Western North,2022,5,22,25.522464546097833,177
Bono East,2022,9,6,20.611872941907354,110
Bono East,2023,7,23,21.545924076625937,107
Volta,2020,6,25,24.227230293749415,32
Western,2010,10,21,20.0394606815171,62
Volta,2014,4,7,29.80417302719095,128
Western North,2013,9,11,30.085895956898696,36
Western North,2013,9,19,25.762032765343335,17
Bono East,2020,9,18,31.865575328210173,186
Ahafo,2018,5,19,32.778958949717904,85
Savannah,2023,11,14,30.76253104869648,2
Greater Accra,2010,10,8,20.18504934651579,202
Northern,2016,8,30,33.79190528585461,108
Northern,2015,2,21,34.799365970000615,185
Northern,2019,8,12,30.410003629733325,70
Western North,2014,10,1,21.036311048656266,124
Northern,2013,6,21,27.196500998386426,175
Central,2015,12,17,25.467425256035618,72
Western North,2022,1,11,32.811329572989685,185
Western,2013,5,10,21.755102199448235,41
Ahafo,2016,11,11,28.877217123199088,246
Upper West,2012,9,1,29.26013751644603,198
Greater Accra,2010,1,3,22.44951718203499,54
Bono,2010,11,4,23.887004552103964,78
Northern,2021,8,8,23.660544892718566,176
Upper East,2023,9,25,20.74927349102699,64
Western North,2013,3,7,33.907360585369176,113
Upper East,2011,12,9,33.1846065758031,218
Greater Accra,2014,3,7,28.772684744063834,86
Bono East,2022,5,30,32.789320431647965,60
Volta,2015,12,10,26.03563446529818,183
Oti,2019,4,12,22.94171225814823,79
Western North,2014,3,6,26.63341254450497,27
North East,2012,2,9,22.8955376457699,53
Central,2016,2,22,27.581434455769525,38
Upper East,2017,7,10,28.437780463778516,94
Western,2023,5,10,28.20412844257238,56
Bono East,2017,6,25,31.857989310865648,238
Bono,2013,3,12,24.44100082748196,74
Western North,2014,11,20,30.986870937087456,151
Western,2020,7,16,21.89777764686822,1
Ahafo,2011,9,4,25.18688152506443,87
Upper East,2013,10,22,30.9651818633405,157
Central,2017,6,16,23.021861959731762,18
Oti,2020,9,30,28.644204496789527,118
Ahafo,2023,5,25,25.55525752160562,36
Northern,2018,5,1,32.57080802101261,221
Upper West,2019,10,8,21.805657384115154,34
Central,2022,4,4,34.33516055128695,58
Ashanti,2018,9,11,23.303739880721515,30
Western North,2021,5,12,22.61991897536508,71
Oti,2012,4,27,23.771842332047083,174
Ahafo,2021,7,10,24.48209843617368,65
Bono,2020,5,29,25.965156807906986,94
Bono,2020,8,1,26.538711319752686,237
Volta,2023,5,7,25.36758406172736,134
Upper West,2014,1,13,24.325810412690604,158
Savannah,2013,5,31,28.05971923734829,230
Western,2023,3,3,23.28738262807518,55
Bono East,2013,6,19,29.48003854324477,108
Savannah,2016,7,7,20.964713169450697,204
Greater Accra,2021,2,23,26.01202691787952,140
Volta,2022,4,25,29.575246260199307,143
Upper West,2012,5,29,23.5959759216785,139
Ahafo,2010,1,18,32.67732946300796,188
Ashanti,2013,12,22,24.99351279317613,139
Upper East,2017,8,9,29.485436979203364,246
Volta,2012,8,27,20.389621157281503,198
Oti,2011,11,28,31.62340538591338,112
Eastern,2018,11,17,21.517446907753335,70
Upper West,2015,2,1,32.05106861332616,163
Upper West,2020,3,1,29.686115760688097,250
Oti,2010,8,13,32.46755794734674,233
Bono,2021,6,16,23.565976985299155,82
Greater Accra,2013,11,29,29.827582563992934,158
Oti,2012,11,3,21.671514880140908,159
Savannah,2011,6,23,24.337240175389596,144
Oti,2019,5,27,34.14103159565999,81
Ahafo,2010,7,2,31.355888700919117,118
Central,2022,4,23,29.526789260420582,224
Eastern,2023,12,15,24.866387424982886,93
Bono East,2023,4,30,33.057069648426214,170
Upper East,2018,12,15,27.209069747848485,161
Eastern,2021,4,18,30.328644810729145,40
Ahafo,2012,11,25,34.429503207899685,212
Ashanti,2013,12,9,26.507709250199614,18
Central,2017,1,25,23.584506819875408,39
North East,2019,12,10,30.616214172314873,139
Ahafo,2010,11,2,29.81299271086221,58
Ahafo,2016,2,10,21.296225688558316,51
Ahafo,2020,2,11,30.937450935841866,243
Ahafo,2023,10,7,33.21703546206517,83
Bono East,2016,11,18,32.84392739769184,90
Savannah,2018,10,14,32.804431688914136,149
Northern,2019,2,3,31.50460024082921,10
Greater Accra,2016,5,16,22.306311710454686,219
Bono,2014,4,27,22.037496976826898,198
Oti,2018,2,17,22.430241853409438,191
Western North,2020,8,17,29.714908581761826,150
Oti,2012,11,27,23.00737735809244,159
Greater Accra,2016,5,24,20.945734402523414,181
Bono East,2012,5,9,28.18702319710177,110
Oti,2022,4,17,26.048204140354773,57
Bono East,2020,10,11,25.64271904855982,190
Ahafo,2011,9,11,20.114008070716956,40
Volta,2011,1,24,25.252831336423807,76
Ashanti,2020,11,17,30.986363954212145,223
Volta,2022,9,15,24.56990921671429,166
Bono East,2015,4,25,29.411193799502133,158
Western North,2020,1,6,30.58740515029633,228
North East,2010,3,9,25.876837810496546,195
Central,2016,1,15,25.586384826635353,130
Bono East,2014,1,25,22.40536258882348,49
Savannah,2013,6,3,32.617100883900605,248
Western,2014,9,5,32.34415324012153,155
Bono,2019,7,26,21.77909379982144,177
Ahafo,2011,4,15,30.561788126945515,243
Greater Accra,2021,11,10,26.18026008480513,110
Upper East,2019,4,12,29.464102041091827,189
Northern,2012,12,14,27.854687855910054,162
Upper East,2010,5,17,23.967691491658748,125
Bono East,2010,7,25,32.20117732500482,37
Bono,2019,2,5,29.201527772484294,232
Western North,2017,10,1,25.65050043956803,104
Upper West,2012,2,24,30.09619859686252,215
Volta,2019,2,26,21.03041085243937,79
Upper West,2013,2,1,29.64662420231043,246
Central,2017,11,8,28.298959511120202,49
Ashanti,2011,8,9,20.964359087375783,165
Western North,2014,8,3,31.528563713777995,154
Volta,2018,9,7,25.865946599325508,117
Savannah,2015,12,10,31.259289915686914,152
Western North,2016,6,19,23.497971032364703,244
Savannah,2010,11,9,22.33959537279197,82
Volta,2017,8,22,29.612284057899508,135
North East,2021,10,17,30.95320812653243,1
Upper East,2012,6,17,32.908685050678734,172
Central,2017,10,5,31.5558542817895,146
Oti,2021,12,15,33.80211246975235,51
Bono,2017,9,19,25.07840474791407,55
North East,2018,9,26,29.345198339712397,221
Upper West,2014,1,31,22.894587303723338,23
Upper West,2012,10,5,30.142538853435894,101
Ashanti,2016,7,12,30.25938168616458,90
Savannah,2018,7,30,28.00378545942217,82
Upper East,2020,6,24,32.71767749624859,144
Volta,2015,7,17,33.23198841579114,213
Greater Accra,2022,1,25,31.50206582790772,201
Northern,2020,8,19,29.842201961012513,57
Volta,2016,8,23,33.37381111304056,167
Volta,2017,8,13,31.578795001967865,186
Savannah,2014,8,28,21.623060846535655,106
Ahafo,2013,1,25,25.730672548289064,32
Bono East,2018,6,16,26.51323425545774,120
North East,2022,11,6,26.413565108232273,120
Western,2011,3,7,22.923623687063987,219
North East,2011,9,20,29.424140030553346,5
Oti,2014,2,12,32.54232946586362,127
Central,2010,6,21,26.205902000684798,64
Ashanti,2012,3,25,33.58967959375512,203
Upper East,2022,11,12,31.37789378836882,216
Ahafo,2021,1,28,23.46162705768377,40
Western North,2017,8,31,32.58379998382013,75
Ashanti,2012,3,18,33.70045583157584,113
Bono,2012,2,29,34.126854644795074,6
Greater Accra,2010,12,12,26.55267946900714,204
Upper West,2023,3,21,25.164619491014996,69
Ahafo,2022,12,17,24.52047508970146,187
Western North,2016,12,19,26.90714822091563,88
Ashanti,2022,10,28,29.128821686793884,49
Ahafo,2011,8,18,31.157240626805564,138
Greater Accra,2022,3,3,20.53995962905414,21
Northern,2012,5,29,27.542523895147085,105
Bono,2018,10,12,21.71224545756182,135
Volta,2013,10,14,33.51351241126977,203
Bono,2022,5,1,32.952282043517926,65
Ahafo,2016,12,14,34.39693115589682,117
Volta,2020,12,25,23.959035651900013,78
Upper West,2010,3,1,21.272279358569318,2
Central,2017,10,14,30.67912788527012,40
Upper East,2014,2,1,26.024664321946673,97
Savannah,2018,8,13,26.584687715691196,144
Northern,2016,11,27,34.50037281358751,146
Ahafo,2010,4,22,29.147582185384216,187
Ahafo,2011,12,18,29.106355607943474,16
Eastern,2020,3,3,21.69192224696313,88
Bono,2020,6,4,22.72091259451128,219
Northern,2011,2,22,29.787764032130113,23
Bono East,2016,7,10,28.328820068290824,36
Upper West,2010,10,3,22.23972298874607,22
Northern,2020,5,14,21.072926313913232,33
Greater Accra,2011,5,13,32.70792718108169,213
Bono East,2021,4,9,27.194783387869073,124
Central,2014,6,14,30.39100068508974,75
Greater Accra,2015,3,23,30.160270062193625,89
Savannah,2022,9,12,32.61459053408499,7
Northern,2019,7,30,33.343112901011615,12
Volta,2023,7,18,34.65927638727807,53
Northern,2011,9,18,32.47433656528159,103
North East,2014,6,23,25.213170884713783,134
Western North,2019,9,23,27.021069539286046,99
Oti,2010,8,30,28.802004973343433,4
Northern,2017,3,2,22.175817649393736,228
Volta,2016,6,27,30.52369082256638,91
Upper West,2013,5,25,29.092586535244646,250
Savannah,2014,4,21,28.652590989837805,246
Central,2010,6,6,34.35665351536973,68
Central,2015,6,26,29.50205439814807,173
Northern,2012,7,16,33.30913588561917,123
Volta,2019,9,12,26.681686773806682,84
Eastern,2020,6,22,32.591061718833814,150
Volta,2023,12,24,31.440156530062307,138
Central,2017,5,12,27.702109980234155,113
Greater Accra,2019,2,12,26.11151676841092,19
Savannah,2023,7,7,34.63123156014156,244
Savannah,2020,7,23,22.93065960679972,219
Upper East,2022,6,2,26.000210727955782,179
Upper West,2017,2,27,28.691810248033455,234
Upper East,2014,6,9,20.85569664982545,179
Volta,2020,3,6,29.22355211386487,86
Bono East,2022,1,27,30.91010924011213,216
Oti,2019,2,21,25.853885429370777,115
Oti,2012,9,24,30.29669671357976,117
Bono East,2023,3,24,32.38175618410174,117
Western,2014,3,10,24.37359710891719,147
North East,2010,9,9,20.809834522061163,105
Bono East,2010,11,15,22.633895601978494,196
